ARG	ID	RESULTNAME	INFO	EINHEIT	LABEL	L/H	DATENTYP	NAME	MUL	DIV	ADD
IVKMH	0x5AB1	STAT_GESCHWINDIGKEIT_WERT	Geschwindigkeit	km/h	vfzg_w	-	unsigned integer	-	0,0078125	1	0,0
STAT_0x5AB3_WERT	0x5AB3	STAT_FAHRSTRECKE_MIT_MIL_AN_WERT	Fahrstrecke mit MIL an	km	DSMDur_ctPID21h	-	unsigned long	-	0,009999999776482582	1	0,0
IZBST	0x5AB4	STAT_BETRIEBSSTUNDENZAEHLER_WERT	Betriebsstundenzähler	s	top_l	-	unsigned long	-	0,10000000149011612	1	0,0
RTANS	0x5AB6	STAT_ROHWERT_ANSAUGLUFTTEMPERATUR_1_WERT	Rohwert Ansauglufttemperatur 1	Grad C	tanslin	-	unsigned char	-	0,75	1	-48,0
RTKWA	0x5AB7	STAT_ROHWERT_KUEHLWASSERTEMPERATUR_WERT	Rohwert Kühlwassertemperatur	Grad C	tmotlin	-	unsigned char	-	0,75	1	-48,0
IUSAU	0x5AB8	STAT_SPANNUNG_SAUGROHRDRUCK_WERT	Spannung Saugrohrdruck	V	udss_w	-	unsigned integer	-	0,0048828125	1	0,0
IMLUF	0x5ABC	STAT_LUFTMASSE_WERT	Luftmasse	kg/h	ml_w	-	unsigned integer	-	0,10000000149011612	1	0,0
IASRE	0x5ABD	STAT_STARTERRELAIS_AKTIV_WERT	Starterrelais aktiv	-	B_sta	-	unsigned char	-	1	1	0
STAT_0x5ABE_WERT	0x5ABE	STAT_I_REGLER_MENGENREGELUNG_KRAFTSTOFFSYSTEM_WERT	I-Regler Mengenregelung Kraftstoffsystem	mg	FUEL_MASS_REQ_I_CTL_H_RES	-	signed integer	-	0,0211944580078125	1	0,0
STAT_0x5ABF_WERT	0x5ABF	STAT_VERBRAUCH_OHNE_REGLER_WERT	Verbrauch ohne Regler	l/h	VFF_MFF_SP_FUP_CTL	-	unsigned integer	-	0,0038910505827516317	1	0,0
STAT_0x5AC0_WERT	0x5AC0	STAT_VERBRAUCH_MIT_REGLER_WERT	Verbrauch mit Regler	l/h	VFF_VCV	-	unsigned integer	-	0,0038910505827516317	1	0,0
STAT_0x5AC2_WERT	0x5AC2	STAT_RESET_ADRESSE_WERT	Reset Adresse	-	Reset_Env.adLoc	-	unsigned long	-	1,0	1	0,0
STAT_0x5AC4_WERT	0x5AC4	STAT_RAILDRUCK_KRAFTSTOFFS_STEM_SOLLWERT_WERT	Raildruck Kraftstoffsystem Sollwert	MPa	prsoll_w	-	unsigned integer	-	5,000000237487257E-4	1	0,0
STAT_0x5AC5_WERT	0x5AC5	STAT_TASTVERHAELTNIS_MENGENSTEUERVENTIL_WERT	Tastverhältnis Mengensteuerventil	%	PWM_VCV	-	unsigned integer	-	0,00152587890625	1	0,0
STAT_0x5AC6_WERT	0x5AC6	STAT_MODUS_KRAFTSTOFFSYSTEM_WERT	Modus Kraftstoffsystem (Druck-, Mengen- oder Maximumregelung)	0-n	STATE_PWM_VCV	-	unsigned char	ba_vcv_state_text	1	1	0
